廃棄部分,再利用方法,詳細説明
抽出後のコーヒーかす,消臭剤・脱臭剤,乾燥させると湿気を吸いやすくなり招集に役立つ。冷蔵庫や靴箱に置くと、イヤな匂いを軽減できる。
米のとぎ汁,消臭、ぬめり取り,とぎ汁に含まれるでんぷんがニオイ取りに役立つ。洗う前につけ置くとニオイ、ぬめり取りができる。
柑橘類の皮,消臭剤・水垢取り,皮に含まれる成分は消臭剤として利用できる。水垢には、直接皮をこすりつけても、煮立たせてスプレー状にしても効果あり！
リンゴの皮,水垢取り,皮に残る果汁が酸性なので、水垢落としに適している。水垢にこすりつけると落ちやすい。
固くなったご飯,スクラブ洗浄剤,水・重曹・レモン水少々と混ぜてやわらか天然スクラブに。シンクやまな板の軽い汚れを落とすのに便利。
キウイの皮,消臭剤,細かく刻んで生ごみと一緒に入れると、ニオイ対策ができる。
麺のゆで汁,油汚れ落とし,ゆで汁に含まれるデンプンが油分を吸着！フライパンや鍋に注いで加熱すれば、汚れが落ちやすくなる。
じゃがいもの皮,洗剤・磨き剤,洗剤に似た作用がある「サポニン」の力で、皮の内側でシンク・蛇口・浴室の鏡を磨くと水垢が落ちる。曇り止めの効果も。
お茶殻,畳の掃除,絞ったお茶殻を畳全体に均等に撒くだけ。お茶殻と一緒にゴミを掃き取ると、ほこりが舞わない掃除ができる。
コーヒーかす,食器洗い用スクラブ,乾燥させたコーヒーかすを洗剤に少し混ぜて使う。研磨効果で鍋などのベタベタ汚れもすっきり！
